Unibet_ID,Unibet_URL,Unibet_Name,Fotmob_URL,Fotmob_Name,Match_Type,Country/Region
1000443738,https://www.unibet.com.au/betting/sports/filter/football/denmark/dbu_pokalen,DBU Pokalen,https://www.fotmob.com/leagues/242,DBU Pokalen,Exact Match,Denmark
1000095010,https://www.unibet.com.au/betting/sports/filter/football/norway/eliteserien,Eliteserien,https://www.fotmob.com/leagues/59,Eliteserien,Exact Match,Norway
1000095003,https://www.unibet.com.au/betting/sports/filter/football/norway/obos-ligaen,OBOS-ligaen,https://www.fotmob.com/leagues/203,OBOS-ligaen,Exact Match,Norway
1000176403,https://www.unibet.com.au/betting/sports/filter/football/norway/toppserien__w_,Toppserien (W),https://www.fotmob.com/leagues/331,Toppserien,Different Name,Norway
1000094989,https://www.unibet.com.au/betting/sports/filter/football/finland/veikkausliiga,Veikkausliiga,https://www.fotmob.com/leagues/51,Veikkausliiga,Exact Match,Finland
1000094796,https://www.unibet.com.au/betting/sports/filter/football/finland/ykkonen,Ykkönen,https://www.fotmob.com/leagues/251,Ykkosliiga,Different Name,Finland
2000050783,https://www.unibet.com.au/betting/sports/filter/football/finland/kansallinen_liiga__w_,Kansallinen Liiga (W),https://www.fotmob.com/leagues/10174,Kansallinen (Women),Different Name,Finland
1000095057,https://www.unibet.com.au/betting/sports/filter/football/sweden/allsvenskan,Allsvenskan,https://www.fotmob.com/leagues/67,Allsvenskan,Exact Match,Sweden
1000095052,https://www.unibet.com.au/betting/sports/filter/football/sweden/superettan,Superettan,https://www.fotmob.com/leagues/168,Superettan,Exact Match,Sweden
1000095020,https://www.unibet.com.au/betting/sports/filter/football/switzerland/super_league,Super League,https://www.fotmob.com/leagues/69,Super League,Exact Match,Switzerland
1000095047,https://www.unibet.com.au/betting/sports/filter/football/scotland/scottish_premiership,Scottish Premiership,https://www.fotmob.com/leagues/64,Premiership,Different Name,Scotland
1000095045,https://www.unibet.com.au/betting/sports/filter/football/scotland/championship,Championship,https://www.fotmob.com/leagues/123,Championship,Exact Match,Scotland
1000095046,https://www.unibet.com.au/betting/sports/filter/football/scotland/league_cup,League Cup,https://www.fotmob.com/leagues/180,League Cup,Exact Match,Scotland
1000258091,https://www.unibet.com.au/betting/sports/filter/football/northern_ireland/nifl_premiership,NIFL Premiership,https://www.fotmob.com/leagues/129,Premiership,Different Name,Northern Ireland
1000095049,https://www.unibet.com.au/betting/sports/filter/football/spain/la_liga,La Liga,https://www.fotmob.com/leagues/87,LaLiga,Different Name,Spain
1000094708,https://www.unibet.com.au/betting/sports/filter/football/spain/la_liga_2,La Liga 2,https://www.fotmob.com/leagues/140,LaLiga2,Different Name,Spain
1000095050,https://www.unibet.com.au/betting/sports/filter/football/spain/copa_del_rey,Copa del Rey,https://www.fotmob.com/leagues/138,Copa del Rey,Exact Match,Spain
1000094569,https://www.unibet.com.au/betting/sports/filter/football/brazil/brasileirao_serie_a,Brasileirao Serie A,https://www.fotmob.com/leagues/268,Serie A,Different Name,Brazil
1000094431,https://www.unibet.com.au/betting/sports/filter/football/brazil/brasileirao_serie_b,Brasileirao Serie B,https://www.fotmob.com/leagues/8814,Serie B,Different Name,Brazil
