Unibet_ID,Unibet_Name,Fotmob_ID,Fotmob_Name,Match_Type,Country/Region,Is_Verified
1000348167,I Liga,197,1 Liga,Different Name,Poland,false
1000353685,DFL-Supercup,8924,Super Cup,Different Name,Germany,false
1000355562,3. Liga,208,3. Liga,Exact Match,Germany,false
1000358593,Challenger Pro League,264,First Division B,Different Name,Belgium,false
1000374584,Thai League 1,8984,Thai League,Different Name,Thailand,true
1000383729,Elitedivisionen (W),256,Kvindeligaen,Different Name,Denmark,false
1000385084,National League South,8944,National League South,Exact Match,England,true
1000385219,Ekstraklasa,196,Ekstraklasa,Exact Match,Poland,false
1000435401,Bundesliga (W),9676,Frauen Bundesliga,Different Name,Germany,false
1000439335,Primera B,9126,Primera B,Exact Match,Chile,false
1000442572,Primera B Nacional,8965,Primera B Nacional,Exact Match,Argentina,false
1000443738,DBU Pokalen,242,DBU Pokalen,Exact Match,Denmark,false
1000449742,Liga Dimayor,274,Primera A,Different Name,Colombia,false
1000450453,Campeonato Uruguayo,161,Primera Division,Different Name,Uruguay,false
1000451251,Liga de Expansion MX,8976,Liga de Expansion MX Clausura,Different Name,Mexico,true
2000050064,Irish Cup,9389,Irish Cup,Different Name,Northern Ireland,true
2000050115,Primera Paraguay,199,Division Profesional,Different Name,Paraguay,false
2000050125,Premier League,116,Premier League,Exact Match,Wales,true
2000050211,Copa Dimayor,9490,Copa Colombia,Different Name,Colombia,false
2000050214,Liga Leumit,128,Leumit League,Different Name,Israel,true
2000050271,Botola,530,Botola Pro,Different Name,Morocco,false
2000050279,Ligue 1,516,Ligue 1,Exact Match,Algeria,true
2000050345,FA Trophy,9253,FA Trophy,Exact Match,England,true
2000050561,Liga Profesional Argentina,112,Liga Profesional,Different Name,Argentina,false
2000050599,Super Liga,182,Super Liga,Exact Match,Serbia,false
2000050783,Kansallinen Liiga (W),10174,Kansallinen (Women),Different Name,Finland,false
2000051123,Copa de la Reina (W),10651,Copa de la Reina,Different Name,Spain,false
2000051179,Super League,8985,Liga Super,Different Name,Malaysia,true
2000051195,Europa League,73,Europa League,Exact Match,International,false
2000051282,A-League (W),9495,A-League Women,Different Name,Australia,true
2000051288,K-3 League,9537,K League 3,Different Name,South Korea,false
2000051365,2. Liga,176,2. Liga,Different Name,Slovakia,false
2000051466,Champions League (W),9375,Women's Champions League,Different Name,International,false
2000051626,Primera División (W),9907,Liga F,Different Name,Spain,true
2000052302,Azadegan League,9372,Azadegan League,Exact Match,Iran,false
2000052405,Erovnuli Liga,439,Erovnuli Liga,Exact Match,Georgia,false
2000052731,2nd Division,9100,2. Division,Different Name,Cyprus,true
2000053119,Ligue 1,544,Ligue I,Different Name,Tunisia,false
2000054001,Qatar Stars League,535,Qatar Stars League,Exact Match,Qatar,true
2000054030,Northern League Premier Division,8947,Northern Premier Division,Different Name,England,true
2000055068,Premier League,250,Premier League,Exact Match,Faroe Islands,false
2000055538,Brasileirao Serie C,8971,Serie C,Different Name,Brazil,false
2000055612,USL Championship,8972,USL Championship,Exact Match,USA,false
2000055849,Super League (W),9227,WSL,Different Name,England,true
2000056748,Copa Argentina,9305,Copa Argentina,Exact Match,Argentina,false
2000056761,Premier League,524,Stars League,Different Name,Iraq,true
2000056865,Segunda Division,9122,Segunda Division,Exact Match,Uruguay,false
2000057364,African Championship of Nations,9428,African Nations Championship,Different Name,International,false
2000059106,Brasileirao Serie D,9464,Serie D,Different Name,Brazil,false
2000063156,Premier League,10443,Bangladesh Football League,Different Name,Bangladesh,true
2000064655,K-League 2,9116,K League 2,Different Name,South Korea,false
2000065880,UEFA Championship Qualification U21,10437,EURO U-21 Qualification,Different Name,International,false
2000066138,AFC Asian Cup Qualification,10609,Asian Cup  Qualification Playoff,Different Name,International,false
2000067441,J3-League,9136,J. League 3,Different Name,Japan,false
2000069140,Champions League Qualification,10611,Champions League Qualification,Exact Match,International,false
2000074865,NWSL (W),9134,NWSL,Different Name,USA,false
2000075204,Elitettan (W),10308,Eliteettan (W),Different Name,Sweden,false
2000076226,Thai League 2,9498,Thai League 2,Exact Match,Thailand,true
2000077426,Europa League Qualification,10613,Europa League Qualification,Exact Match,International,false
2000077607,II Liga,8935,2. Division,Different Name,Poland,false
2000079607,Serie C Girone A,147,Serie C,Different Name,Italy,true
2000080468,The Championship (W),9294,WSL 2,Different Name,England,true
2000086372,World Cup Qualifying - Europe,10195,World Cup Qualification UEFA,Different Name,International,false
2000087788,Torneo Federal A,9213,Primera B Metropolitana & Torneo Federal A,Different Name,Argentina,false
2000095410,Tweede Divisie,9195,Tweede Divisie,Exact Match,Netherlands,true
2000095699,Liga 1,8983,Super League,Different Name,Indonesia,true
2000095935,Liga II,9113,Liga II,Exact Match,Romania,false
2000096351,Premier League 2 U21 (Division 1),9084,Premier League 2,Different Name,England,true
2000109034,Liga MX Femenil (W),9906,Liga MX Femenil Clausura,Different Name,Mexico,true
2000116433,Copa Paraguay,10230,Copa Paraguay,Exact Match,Paraguay,false
2000117732,Copa Ecuador,10046,Copa Ecuador,Exact Match,Ecuador,false
2000120032,Leagues Cup,10043,Leagues Cup,Exact Match,International,false
2000121299,CAF Champions League Qualification,10619,CAF Champions League Qualification,Exact Match,International,false
2000122597,Super League 2,8815,Super League 2 Grp. B,Different Name,Greece,true
2000130521,Conference League Qualification,10615,Conference League Qualification,Exact Match,International,false
2000130522,Conference League,10216,Conference League,Exact Match,International,false
