Unibet_ID,Unibet_URL,Unibet_Name,Fotmob_URL,Fotmob_Name,Match_Type,Country/Region,Is_Verified
1000095001,https://www.unibet.com.au/betting/sports/filter/football/italy/serie_a,Serie A,https://www.fotmob.com/leagues/55,Serie A,Exact Match,Italy,false
1000095002,https://www.unibet.com.au/betting/sports/filter/football/italy/serie_b,Serie B,https://www.fotmob.com/leagues/86,Serie B,Exact Match,Italy,true
1000095003,https://www.unibet.com.au/betting/sports/filter/football/norway/obos-ligaen,OBOS-ligaen,https://www.fotmob.com/leagues/203,OBOS-ligaen,Exact Match,Norway,false
1000095010,https://www.unibet.com.au/betting/sports/filter/football/norway/eliteserien,Eliteserien,https://www.fotmob.com/leagues/59,Eliteserien,Exact Match,Norway,false
1000095016,https://www.unibet.com.au/betting/sports/filter/football/poland/puchar_polski,Puchar Polski,https://www.fotmob.com/leagues/198,Puchar Polski,Exact Match,Poland,false
1000095020,https://www.unibet.com.au/betting/sports/filter/football/switzerland/super_league,Super League,https://www.fotmob.com/leagues/69,Super League,Exact Match,Switzerland,false
1000095021,https://www.unibet.com.au/betting/sports/filter/football/switzerland/challenge_league,Challenge League,https://www.fotmob.com/leagues/163,Challenge League,Exact Match,Switzerland,false
1000095042,https://www.unibet.com.au/betting/sports/filter/football/portugal/primeira_liga,Primeira Liga,https://www.fotmob.com/leagues/61,Liga Portugal,Different Name,Portugal,true
1000095045,https://www.unibet.com.au/betting/sports/filter/football/scotland/championship,Championship,https://www.fotmob.com/leagues/123,Championship,Exact Match,Scotland,true
1000095046,https://www.unibet.com.au/betting/sports/filter/football/scotland/league_cup,League Cup,https://www.fotmob.com/leagues/180,League Cup,Exact Match,Scotland,false
1000095047,https://www.unibet.com.au/betting/sports/filter/football/scotland/scottish_premiership,Scottish Premiership,https://www.fotmob.com/leagues/64,Premiership,Different Name,Scotland,false
1000095049,https://www.unibet.com.au/betting/sports/filter/football/spain/la_liga,La Liga,https://www.fotmob.com/leagues/87,LaLiga,Different Name,Spain,true
1000095050,https://www.unibet.com.au/betting/sports/filter/football/spain/copa_del_rey,Copa del Rey,https://www.fotmob.com/leagues/138,Copa del Rey,Exact Match,Spain,false
1000095052,https://www.unibet.com.au/betting/sports/filter/football/sweden/superettan,Superettan,https://www.fotmob.com/leagues/168,Superettan,Exact Match,Sweden,false
1000095057,https://www.unibet.com.au/betting/sports/filter/football/sweden/allsvenskan,Allsvenskan,https://www.fotmob.com/leagues/67,Allsvenskan,Exact Match,Sweden,false
1000095062,https://www.unibet.com.au/betting/sports/filter/football/turkey/super_lig,Süper Lig,https://www.fotmob.com/leagues/71,Süper Lig,Exact Match,Turkey,false
1000095063,https://www.unibet.com.au/betting/sports/filter/football/usa/mls,MLS,https://www.fotmob.com/leagues/130,MLS,Exact Match,USA,false
1000095127,https://www.unibet.com.au/betting/sports/filter/football/netherlands/eerste_divisie,Eerste Divisie,https://www.fotmob.com/leagues/111,Eerste Divisie,Exact Match,Netherlands,false
1000095137,https://www.unibet.com.au/betting/sports/filter/football/england/efl_trophy,EFL Trophy,https://www.fotmob.com/leagues/142,EFL Trophy,Exact Match,England,false
1000095155,https://www.unibet.com.au/betting/sports/filter/football/chile/primera_chile,Primera Chile,https://www.fotmob.com/leagues/273,Primera Division,Different Name,Chile,false
1000095233,https://www.unibet.com.au/betting/sports/filter/football/spain/supercopa,Supercopa,https://www.fotmob.com/leagues/139,Super Cup,Different Name,Spain,true
1000095346,https://www.unibet.com.au/betting/sports/filter/football/estonia/premium_liiga,Premium Liiga,https://www.fotmob.com/leagues/248,Premium liiga,Different Name,Estonia,false
1000095485,https://www.unibet.com.au/betting/sports/filter/football/england/national_league,National League,https://www.fotmob.com/leagues/117,National League,Exact Match,England,false
1000095499,https://www.unibet.com.au/betting/sports/filter/football/romania/liga_i,Liga I,https://www.fotmob.com/leagues/189,Liga I,Exact Match,Romania,false
1000095601,https://www.unibet.com.au/betting/sports/filter/football/ireland/premier_division,Premier Division,https://www.fotmob.com/leagues/126,Premier Division,Exact Match,Ireland,false
1000095645,https://www.unibet.com.au/betting/sports/filter/football/japan/j1-league,J1-League,https://www.fotmob.com/leagues/223,J. League,Different Name,Japan,false
1000095677,https://www.unibet.com.au/betting/sports/filter/football/turkey/sper_kupa,Süper Kupa,https://www.fotmob.com/leagues/166,Super Cup,Different Name,Turkey,true
